"","Nfu.Gene.ID","Nfu.Gene.symbol.nfu2015","Nfu.Gene.symbol.garhum"
"5284","Nfu_g_1_005284","KCNJ6","KCNJ6"
"5285","Nfu_g_1_005285","POU2F3","POU2F3"
"5286","Nfu_g_1_005286","BBX","BBX"
"5287","Nfu_g_1_005287","","CABZ01044356.1"
"5288","Nfu_g_1_005288","VSIG10","vsig10"
"5289","Nfu_g_1_005289","PPP3CA","ppp3ca"
"5290","Nfu_g_1_005290","AFF4","aff4"
"5291","Nfu_g_1_005291","WDR44","WDR44"
"5292","Nfu_g_1_005292","NR3C1 (3 OF 3)","nr3c1"
"5293","Nfu_g_1_005293","DPP3","dpp3"
"5294","Nfu_g_1_005294","SLC25A6","slc25a5"
"5295","Nfu_g_1_005295","PGRMC1","pgrmc1"
"5296","Nfu_g_1_005296","PPP1R14AA","ppp1r14aa"
"5297","Nfu_g_1_005297","","zgc:194845"
"5298","Nfu_g_1_005298","SLC9A6B","slc9a6a"
"5299","Nfu_g_1_005299","SI:CH211-117M20.4","si:ch211-117m20.4"
"5300","Nfu_g_1_005300","YIPF5","yipf5"
"5301","Nfu_g_1_005301","BRD8 (1 OF 2)","BRD8 (1 of 2)"
"5302","Nfu_g_1_005302","KLHL9","KLHL9"
"5303","Nfu_g_1_005303","ATF5A","ATF5 (1 of 2)"
"5304","Nfu_g_1_005304","FGFR4","fgfr4"
"5305","Nfu_g_1_005305","SPNA2","spna2"
"5306","Nfu_g_1_005306","PPME1","ppme1"
"5307","Nfu_g_1_005307","AKAP10","akap10"
"5308","Nfu_g_1_005308","","atrx"
"5309","Nfu_g_1_005309","HSPA8","hspa8"
"5310","Nfu_g_1_005310","C5HXORF57","C5HXorf57"
"5311","Nfu_g_1_005311","ZSWIM7","zswim7"
"5312","Nfu_g_1_005312","",""
"5313","Nfu_g_1_005313","RABGEF1","rabgef1"
"5314","Nfu_g_1_005314","SIPA1","SIPA1"
"5315","Nfu_g_1_005315","",""
"5316","Nfu_g_1_005316","CABZ01078499.2","CABZ01078499.2"
"5317","Nfu_g_1_005317","MARK4A","mark4a"
"5318","Nfu_g_1_005318","ROM1A","rom1a"
"5319","Nfu_g_1_005319","ADSSL","adssl"
"5320","Nfu_g_1_005320","CHMP1B","chmp1a"
"5321","Nfu_g_1_005321","",""
"5322","Nfu_g_1_005322","EBF1B","ebf1b"
"5323","Nfu_g_1_005323","PCDHAC2 (1 OF 2)","BX957322.2"
"5324","Nfu_g_1_005324","DIXDC1 (2 OF 2)","dixdc1b"
"5325","Nfu_g_1_005325","FAM196B","FAM196B"
"5326","Nfu_g_1_005326","SEZ6A","SEZ6 (1 of 2)"
"5327","Nfu_g_1_005327","CKMA","ckma"
"5328","Nfu_g_1_005328","SLC7A3A","slc7a3a"
"5329","Nfu_g_1_005329","AR","ar"
"5330","Nfu_g_1_005330","ADRB2B","adrb2b"
"5331","Nfu_g_1_005331","NPAS2","npas2"
"5332","Nfu_g_1_005332","GABRB2 (2 OF 2)","gabrb2"
"5333","Nfu_g_1_005333","BOD1","bod1"
"5334","Nfu_g_1_005334","TRPC2","trpc2"
"5335","Nfu_g_1_005335","",""
"5336","Nfu_g_1_005336","ARR3A","arr3a"
"5337","Nfu_g_1_005337","","ubc"
"5338","Nfu_g_1_005338","PSMG1","psmg1"
"5339","Nfu_g_1_005339","TBC1D8B","TBC1D8B"
"5340","Nfu_g_1_005340","NEU3","neu3.1"
"5341","Nfu_g_1_005341","SAT2B","zgc:92773"
"5342","Nfu_g_1_005342","PURA","pura"
"5343","Nfu_g_1_005343","CHRDL2","chrdl2"
"5344","Nfu_g_1_005344","",""
"5345","Nfu_g_1_005345","TIPRL","tiprl"
"5346","Nfu_g_1_005346","SI:DKEY-199M13.2","si:dkey-199m13.2"
"5347","Nfu_g_1_005347","CDC23","cdc23"
"5348","Nfu_g_1_005348","MPDU1A","mpdu1b"
"5349","Nfu_g_1_005349","PCDHAC2 (1 OF 2)","PCDHAC2 (1 of 2)"
"5350","Nfu_g_1_005350","BX465841.1","KCNK4"
"5351","Nfu_g_1_005351","HLCS","hlcs"
"5352","Nfu_g_1_005352","B4GALT4","b4galt4"
"5353","Nfu_g_1_005353","WBP11","enah"
"5354","Nfu_g_1_005354","PRDX4","prdx4"
"5355","Nfu_g_1_005355","NRG2A","nrg2a"
"5356","Nfu_g_1_005356","PRDX5","prdx5"
"5357","Nfu_g_1_005357","SPRY4","spry4"
"5358","Nfu_g_1_005358","",""
"5359","Nfu_g_1_005359","PHLDB1A","phldb1"
"5360","Nfu_g_1_005360","B3GNT3 (2 OF 2)","B3GNT3 (1 of 4)"
"5361","Nfu_g_1_005361","GLTPD2","gltpd2"
"5362","Nfu_g_1_005362","BRWD3","phip"
"5363","Nfu_g_1_005363","PVRL3L","pvrl3l"
"5364","Nfu_g_1_005364","","or133-7"
"5365","Nfu_g_1_005365","SLC51A","slc51a"
"5366","Nfu_g_1_005366","PPM1E","ppm1e"
"5367","Nfu_g_1_005367","DSCAML1 (3 OF 3)","DSCAML1"
"5368","Nfu_g_1_005368","ADAD2","ADAD2"
"5369","Nfu_g_1_005369","","TACC2"
"5370","Nfu_g_1_005370","FAM46D (1 OF 2)","FAM46A (1 of 2)"
"5371","Nfu_g_1_005371","POU4F3","pou4f3"
"5372","Nfu_g_1_005372","TMEM88A","tmem88a"
"5373","Nfu_g_1_005373","","cd248b"
"5374","Nfu_g_1_005374","RRAGA","rraga"
"5375","Nfu_g_1_005375","SI:CH73-379F7.5","CACNA1I (2 of 2)"
"5376","Nfu_g_1_005376","KCNIP1B","kcnip1b"
"5377","Nfu_g_1_005377","BANF1","banf1"
"5378","Nfu_g_1_005378","SSSCA1","sssca1"
"5379","Nfu_g_1_005379","HSD20B2","hsd20b2"
"5380","Nfu_g_1_005380","",""
"5381","Nfu_g_1_005381","ASPA","aspa"
"5382","Nfu_g_1_005382","SLC8A4A","slc8a4a"
"5383","Nfu_g_1_005383","RAB6C","rab6a"
"5384","Nfu_g_1_005384","DNAJC18","dnajc18"
"5385","Nfu_g_1_005385","CXXC5","cxxc5"
"5386","Nfu_g_1_005386","PDZD3B","pdzd3b"
"5387","Nfu_g_1_005387","PCDH1A","pcdh1a"
"5388","Nfu_g_1_005388","CR385063.1","CR385063.1"
"5389","Nfu_g_1_005389","","si:ch1073-409b12.4"
"5390","Nfu_g_1_005390","GAB3","GAB3 (1 of 2)"
"5391","Nfu_g_1_005391","HTATSF1","htatsf1"
"5392","Nfu_g_1_005392","ATP6V1A (2 OF 2)","atp6v1ab"
"5393","Nfu_g_1_005393","FDXACB1","FDXACB1"
"5394","Nfu_g_1_005394","CX39.9","cx39.9"
"5395","Nfu_g_1_005395","CAPNS1A","capns1a"
"5396","Nfu_g_1_005396","ESRRA","esrra"
"5397","Nfu_g_1_005397","SCN4BB","SCN4B (2 of 2)"
"5398","Nfu_g_1_005398","SLC12A9","slc12a9"
"5399","Nfu_g_1_005399","SMFN","smfn"
"5400","Nfu_g_1_005400","JAKMIP2","jakmip2"
"5401","Nfu_g_1_005401","POM121","pom121"
"5402","Nfu_g_1_005402","ZBTB20","zbtb20"
"5403","Nfu_g_1_005403","PYGMA","pygma"
"5404","Nfu_g_1_005404","CABZ01064670.1","sim1a"
"5405","Nfu_g_1_005405","FGF1B","fgf1a"
"5406","Nfu_g_1_005406","ZCCHC10","zcchc10"
"5407","Nfu_g_1_005407","CPEB4 (1 OF 2)","cpeb4"
"5408","Nfu_g_1_005408","MYO18AB","myo18aa"
"5409","Nfu_g_1_005409","BSX","bsx"
"5410","Nfu_g_1_005410","GSX1","gsx1"
"5411","Nfu_g_1_005411","VPS51","vps51"
"5412","Nfu_g_1_005412","CT025910.1","si:ch211-200p22.4"
"5413","Nfu_g_1_005413","","SLC25A35"
"5414","Nfu_g_1_005414","CABZ01055715.1","CABZ01055715.1"
"5415","Nfu_g_1_005415","SMS","sms"
"5416","Nfu_g_1_005416","RBM27","rbm27"
"5417","Nfu_g_1_005417","MSI2B","msi2b"
"5418","Nfu_g_1_005418","CT573337.1","CT573337.1"
"5419","Nfu_g_1_005419","RNF167","RNF167"
"5420","Nfu_g_1_005420","VAMP2","vamp2"
"5421","Nfu_g_1_005421","SLC34A1B","slc34a1b"
"5422","Nfu_g_1_005422","",""
"5423","Nfu_g_1_005423","SLC6A7","SLC6A7"
"5424","Nfu_g_1_005424","ZDHHC20 (1 OF 2)","ZDHHC20 (2 of 2)"
"5425","Nfu_g_1_005425","GC3","gc3"
"5426","Nfu_g_1_005426","ADORA2B","adora2b"
"5427","Nfu_g_1_005427","TMLHE","tmlhe"
"5428","Nfu_g_1_005428","DPF2","dpf2"
"5429","Nfu_g_1_005429","C24H11ORF54","C24H11orf54"
"5430","Nfu_g_1_005430","","CR356230.1"
"5431","Nfu_g_1_005431","P4HA2","p4ha2"
"5432","Nfu_g_1_005432","UCP2","ucp2"
"5433","Nfu_g_1_005433","FOXO1 (2 OF 2)","foxo1b"
"5434","Nfu_g_1_005434","NDFIP1","ndfip1l"
"5435","Nfu_g_1_005435","SEPT8A","sept8a"
"5436","Nfu_g_1_005436","COX7B2",""
"5437","Nfu_g_1_005437","LARP1","larp1"
"5438","Nfu_g_1_005438","SMG8","smg8"
"5439","Nfu_g_1_005439","ZPLD1 (1 OF 2)","ZPLD1 (1 of 2)"
"5440","Nfu_g_1_005440","",""
"5441","Nfu_g_1_005441","VPS11","vps11"
"5442","Nfu_g_1_005442","SHROOM1","SHROOM1"
"5443","Nfu_g_1_005443","PDCD8","pdcd8"
"5444","Nfu_g_1_005444","LIPH","zgc:91985"
"5445","Nfu_g_1_005445","",""
"5446","Nfu_g_1_005446","C2CD2L","c2cd2l"
"5447","Nfu_g_1_005447","CCNI2","ccni2"
"5448","Nfu_g_1_005448","RNF145","rnf145b"
"5449","Nfu_g_1_005449","RAD50","rad50"
"5450","Nfu_g_1_005450","CABZ01071177.1","si:ch73-335m24.5"
"5451","Nfu_g_1_005451","PCYT1BB","pcyt1bb"
"5452","Nfu_g_1_005452","HMP19","hmp19"
"5453","Nfu_g_1_005453","TAF6","taf6"
"5454","Nfu_g_1_005454","PCOLCE (1 OF 2)","PCOLCE (1 of 2)"
"5455","Nfu_g_1_005455","","zgc:194261"
"5456","Nfu_g_1_005456","AL928851.1","AL928851.1"
"5457","Nfu_g_1_005457","SRRT","srrt"
"5458","Nfu_g_1_005458","SPTBN2","sptbn2"
"5459","Nfu_g_1_005459","LRCH2","lrch2"
"5460","Nfu_g_1_005460","ARHGAP32 (1 OF 2)","ARHGAP32"
"5461","Nfu_g_1_005461","","TMEM47"
"5462","Nfu_g_1_005462","RTN2B","rtn2b"
"5463","Nfu_g_1_005463","F11R","f11r"
"5464","Nfu_g_1_005464","H3F3B.1","h3f3c"
"5465","Nfu_g_1_005465","SPAG7","spag7"
"5466","Nfu_g_1_005466","EPHB4A","ephb4a"
"5467","Nfu_g_1_005467","",""
"5468","Nfu_g_1_005468","","FANCA"
"5469","Nfu_g_1_005469","LHX1B","lhx1b"
"5470","Nfu_g_1_005470","GABRG2","gabrg2"
"5471","Nfu_g_1_005471","ZNF346","znf346"
"5472","Nfu_g_1_005472","",""
"5473","Nfu_g_1_005473","SI:DKEY-71D15.2","si:dkey-71d15.2"
"5474","Nfu_g_1_005474","SAT1","sat1a"
"5475","Nfu_g_1_005475","LPAR6B","lpar6a"
"5476","Nfu_g_1_005476","",""
"5477","Nfu_g_1_005477","PGK1","pgk1"
"5478","Nfu_g_1_005478","H2AFY","h2afy"
"5479","Nfu_g_1_005479","GRXCR2","GRXCR2"
"5480","Nfu_g_1_005480","FRMD8","frmd8"
"5481","Nfu_g_1_005481","OLA.13760","fgf13b"
"5482","Nfu_g_1_005482","PLAC8L1","plac8l1"
"5483","Nfu_g_1_005483","CABZ01041812.1","CABZ01041812.1"
"5484","Nfu_g_1_005484","RAD54L2 (1 OF 2)","rad54l2"
"5485","Nfu_g_1_005485","ABCD3A","abcd3a"
"5486","Nfu_g_1_005486","CSRNP3 (2 OF 2)","CSRNP3"
"5487","Nfu_g_1_005487","CCDC136B","ccdc136b"
"5488","Nfu_g_1_005488","","BX005380.1"
"5489","Nfu_g_1_005489","IRF5","irf5"
"5490","Nfu_g_1_005490","",""
"5491","Nfu_g_1_005491","KIAA1549 (2 OF 2)","si:dkeyp-27e10.3"
"5492","Nfu_g_1_005492","TNPO3","tnpo3"
"5493","Nfu_g_1_005493","",""
"5494","Nfu_g_1_005494","",""
"5495","Nfu_g_1_005495","TNC","tnc"
"5496","Nfu_g_1_005496","SP140L","BX569789.5"
"5497","Nfu_g_1_005497","BX569789.1","BX569789.1"
"5498","Nfu_g_1_005498","",""
"5499","Nfu_g_1_005499","","si:dkey-222o15.5"
"5500","Nfu_g_1_005500","CU570881.1","CU570881.1"
"5501","Nfu_g_1_005501","",""
"5502","Nfu_g_1_005502","TMEM14A","TMEM14A"
"5503","Nfu_g_1_005503","AGPAT5","AGPAT5"
"5504","Nfu_g_1_005504","ANGPT2","ANGPT2"
"5505","Nfu_g_1_005505","GSTA5","gstal"
"5506","Nfu_g_1_005506","MCPH1","MCPH1"
"5507","Nfu_g_1_005507","NPY4R","npy4r"
"5508","Nfu_g_1_005508","ACIN1A","acin1a"
"5509","Nfu_g_1_005509","UNC119B (1 OF 2)","unc119.1"
"5510","Nfu_g_1_005510","CIT (1 OF 3)","CIT (1 of 2)"
"5511","Nfu_g_1_005511","CRYBB3 (2 OF 2)","crybb3"
"5512","Nfu_g_1_005512","","si:dkey-23a23.2"
"5513","Nfu_g_1_005513","",""
"5514","Nfu_g_1_005514","PPIL4","ppil4"
"5515","Nfu_g_1_005515","PTCHD4","ptchd4"
"5516","Nfu_g_1_005516","SRP9","srp9"
"5517","Nfu_g_1_005517","RPL7L1","rpl7l1"
"5518","Nfu_g_1_005518","PSMA6 (2 OF 2)","psma6a"
"5519","Nfu_g_1_005519","BRMS1LB","brms1lb"
"5520","Nfu_g_1_005520","EPHX1","ephx1"
"5521","Nfu_g_1_005521","AMD1","amd1"
"5522","Nfu_g_1_005522","TCF23","tcf23"
"5523","Nfu_g_1_005523","TRAF3IP2","CABZ01080457.1"
"5524","Nfu_g_1_005524","RPF2","rpf2"
"5525","Nfu_g_1_005525","REV3L","rev3l"
"5526","Nfu_g_1_005526","",""
"5527","Nfu_g_1_005527","FYNB","fyna"
"5528","Nfu_g_1_005528","ENAH","enah"
"5529","Nfu_g_1_005529","KIAA1919","zgc:162161"
"5530","Nfu_g_1_005530","NFKBIAA","nfkbiaa"
"5531","Nfu_g_1_005531","ZC3H12D","zc3h12b"
"5532","Nfu_g_1_005532","BRMS1LB","brms1la"
"5533","Nfu_g_1_005533","CDK19","cdk19"
"5534","Nfu_g_1_005534","CABZ01055715.1","CABZ01055715.1"
"5535","Nfu_g_1_005535","TAB2","tab2"
"5536","Nfu_g_1_005536","KATNA1","katna1"
"5537","Nfu_g_1_005537","KATNA1","katna1"
"5538","Nfu_g_1_005538","LBR","lbr"
"5539","Nfu_g_1_005539","SLC5A6 (1 OF 2)","SLC5A6 (1 of 2)"
"5540","Nfu_g_1_005540","PSMC1","psmc1b"
"5541","Nfu_g_1_005541","","CR855306.1"
"5542","Nfu_g_1_005542","CR855387.1","CR855387.1"
"5543","Nfu_g_1_005543","","CHAMP1"
"5544","Nfu_g_1_005544","","si:ch211-271g18.3"
"5545","Nfu_g_1_005545","PFDN1","pfdn1"
"5546","Nfu_g_1_005546","TTC1","ttc1"
"5547","Nfu_g_1_005547","CABZ01024770.1","CABZ01024770.1"
"5548","Nfu_g_1_005548","HSPB9","hspb9"
"5549","Nfu_g_1_005549","PYYA","pyya"
"5550","Nfu_g_1_005550","ZGC:112970","zgc:112970"
"5551","Nfu_g_1_005551","AKAP6","akap6"
"5552","Nfu_g_1_005552","","zgc:113208"
"5553","Nfu_g_1_005553","",""
"5554","Nfu_g_1_005554","","si:dkey-4c15.16"
"5555","Nfu_g_1_005555","MSTNA","mstnb"
"5556","Nfu_g_1_005556","LIPT1","lipt1"
"5557","Nfu_g_1_005557","DYNLT3 (2 OF 2)","dynlt3"
"5558","Nfu_g_1_005558","",""
"5559","Nfu_g_1_005559","EFR3BA","efr3ba"
"5560","Nfu_g_1_005560","IHHB","ihha"
"5561","Nfu_g_1_005561","BX000363.2","TRERF1"
"5562","Nfu_g_1_005562","KALRNB","TRIO (1 of 2)"
"5563","Nfu_g_1_005563","NHSL1B","nhsl1b"
"5564","Nfu_g_1_005564","DUSP27","DUSP27"
"5565","Nfu_g_1_005565","","ghra"
"5566","Nfu_g_1_005566","OLA.3201",""
"5567","Nfu_g_1_005567","BIN1","bin1"
"5568","Nfu_g_1_005568","NHEJ1","nhej1"
"5569","Nfu_g_1_005569","","si:dkey-151g22.1"
"5570","Nfu_g_1_005570","DES","desma"
"5571","Nfu_g_1_005571","TDP2 (2 OF 2)","tdp2b"
"5572","Nfu_g_1_005572","ZNF513 (2 OF 2)","ZNF513"
"5573","Nfu_g_1_005573","DNPEP","dnpep"
"5574","Nfu_g_1_005574","OLA.3201",""
"5575","Nfu_g_1_005575","SH3YL1","sh3yl1"
"5576","Nfu_g_1_005576","OLA.3201",""
"5577","Nfu_g_1_005577","OLA.3201",""
"5578","Nfu_g_1_005578","TUBA8L4","tuba8l4"
"5579","Nfu_g_1_005579","DNPEP","dnpep"
"5580","Nfu_g_1_005580","EPHX2","ephx2"
"5581","Nfu_g_1_005581","FBXO3","fbxo3"
"5582","Nfu_g_1_005582","TMEM198B","tmem198b"
"5583","Nfu_g_1_005583","CYBB","cybb"
"5584","Nfu_g_1_005584","BIN1","bin1"
"5585","Nfu_g_1_005585","PTPRNB","ptprna"
"5586","Nfu_g_1_005586","MAP3K2","MAP3K2"
"5587","Nfu_g_1_005587","EIF5B","eif5b"
"5588","Nfu_g_1_005588","IMPG2 (3 OF 3)","IMPG2 (2 of 3)"
"5589","Nfu_g_1_005589","","si:ch211-113j14.1"
"5590","Nfu_g_1_005590","OLA.3201",""
"5591","Nfu_g_1_005591","BCMO1B","zgc:63614"
"5592","Nfu_g_1_005592","SHROOM2 (2 OF 2)","SHROOM2 (2 of 2)"
"5593","Nfu_g_1_005593","SUMO1","sumo1"
"5594","Nfu_g_1_005594","EPHX2","ephx2"
"5595","Nfu_g_1_005595","OLA.3201",""
"5596","Nfu_g_1_005596","DES","desma"
"5597","Nfu_g_1_005597","RPGRB","rpgrb"
"5598","Nfu_g_1_005598","C1ORF115","C17H1orf115 (2 of 2)"
"5599","Nfu_g_1_005599","IQCB1","iqcb1"
"5600","Nfu_g_1_005600","","NLRX1 (18 of 54)"
"5601","Nfu_g_1_005601","","zgc:194275"
"5602","Nfu_g_1_005602","",""
"5603","Nfu_g_1_005603","CR407588.1","SLC22A14"
"5604","Nfu_g_1_005604","SEPT12","SEPT12"
"5605","Nfu_g_1_005605","LSAMP","LSAMP"
"5606","Nfu_g_1_005606","","oxtl"
"5607","Nfu_g_1_005607","",""
"5608","Nfu_g_1_005608","OLA.15822","mhc2dab"
"5609","Nfu_g_1_005609","MAP2K4B","map2k4b"
"5610","Nfu_g_1_005610","MYOCD","MYOCD"
"5611","Nfu_g_1_005611","NEBL","neb"
"5612","Nfu_g_1_005612","CART1","cart1"
"5613","Nfu_g_1_005613","TTC40","CABZ01084846.1"
"5614","Nfu_g_1_005614","ALKBH3","alkbh3"
"5615","Nfu_g_1_005615","","si:ch211-155d24.7"
"5616","Nfu_g_1_005616","WWC3","WWC3"
"5617","Nfu_g_1_005617","CDH24 (2 OF 2)","CDH24 (1 of 2)"
"5618","Nfu_g_1_005618","CABZ01079870.1","si:dkey-24p1.6"
"5619","Nfu_g_1_005619","NHSA","nhsa"
"5620","Nfu_g_1_005620","CDKL5 (1 OF 2)","cdkl5"
"5621","Nfu_g_1_005621","SFT2D2 (2 OF 2)","SFT2D2 (1 of 2)"
"5622","Nfu_g_1_005622","RS1 (1 OF 2)","rs1"
"5623","Nfu_g_1_005623","RAI2","RAI2"
"5624","Nfu_g_1_005624","CHD1L","chd1l"
"5625","Nfu_g_1_005625","SCML2 (3 OF 3)","SCML2"
"5626","Nfu_g_1_005626","SLC34A2B","slc34a2b"
"5627","Nfu_g_1_005627","PSMB11 (2 OF 2)","PSMB11 (1 of 2)"
"5628","Nfu_g_1_005628","CABZ01007930.1","CABZ01007930.1"
"5629","Nfu_g_1_005629","SHROOM2 (1 OF 3)","SHROOM2 (1 of 2)"
"5630","Nfu_g_1_005630","","CABZ01080075.1"
"5631","Nfu_g_1_005631","",""
"5632","Nfu_g_1_005632","REPS2","REPS2"
"5633","Nfu_g_1_005633","TMEM45A","TMEM45A"
"5634","Nfu_g_1_005634","","BX663505.1"
"5635","Nfu_g_1_005635","","si:ch211-8c17.2"
"5636","Nfu_g_1_005636","","si:dkeyp-53e4.2"
"5637","Nfu_g_1_005637","SCO2","sco2"
"5638","Nfu_g_1_005638","CALUA","calua"
"5639","Nfu_g_1_005639","TNPO3","tnpo3"
"5640","Nfu_g_1_005640","OPN1SW1","opn1sw1"
"5641","Nfu_g_1_005641","","si:ch211-209n20.58"
"5642","Nfu_g_1_005642","CRLF3","crlf3"
"5643","Nfu_g_1_005643","","si:ch211-120k19.1"
"5644","Nfu_g_1_005644","","si:ch211-161m3.4"
"5645","Nfu_g_1_005645","NADSYN1","nadsyn1"
"5646","Nfu_g_1_005646","BX005410.1","anpepb"
"5647","Nfu_g_1_005647","ITFG1","ITFG1"
"5648","Nfu_g_1_005648","","si:dkey-240n22.7"
"5649","Nfu_g_1_005649","CAMK2N2","camk2n1a"
"5650","Nfu_g_1_005650","OLA.20224","si:ch211-224b1.4"
"5651","Nfu_g_1_005651","",""
"5652","Nfu_g_1_005652","",""
"5653","Nfu_g_1_005653","PCDH2AC","pcdh2ac"
"5654","Nfu_g_1_005654","","EPM2AIP1 (2 of 2)"
"5655","Nfu_g_1_005655","OLA.16268","npsn"
"5656","Nfu_g_1_005656","FADD","fadd"
"5657","Nfu_g_1_005657","BX901915.1","TRAF2 (2 of 2)"
"5658","Nfu_g_1_005658","CCDC102A","ccdc102a"
"5659","Nfu_g_1_005659","TRMU","trmu"
"5660","Nfu_g_1_005660","EIF2AK3","eif2ak3"
"5661","Nfu_g_1_005661","RPIA","rpia"
"5662","Nfu_g_1_005662","GRK1 (2 OF 2)","grk1a"
"5663","Nfu_g_1_005663","GPR183","gpr183"
"5664","Nfu_g_1_005664","LRCH1","LRCH1"
"5665","Nfu_g_1_005665","TNNT3A","tnnt3a"
"5666","Nfu_g_1_005666","SYT8","syt8"
"5667","Nfu_g_1_005667","CADPS2","cadpsa"
"5668","Nfu_g_1_005668","OLA.8940","cox8a"
"5669","Nfu_g_1_005669","","zgc:173710"
"5670","Nfu_g_1_005670","GABPA","gabpa"
"5671","Nfu_g_1_005671","SSFA2","ssfa2"
"5672","Nfu_g_1_005672","GJA3 (1 OF 2)","gja3"
"5673","Nfu_g_1_005673","ABI3BP (2 OF 2)","abi3bp"
"5674","Nfu_g_1_005674","HSD3B2","si:rp71-68n21.10"
"5675","Nfu_g_1_005675","F5","f5"
"5676","Nfu_g_1_005676","PARD6A","pard6a"
"5677","Nfu_g_1_005677","FAM155A (1 OF 2)","FAM155A (1 of 2)"
"5678","Nfu_g_1_005678","UTP14C","UTP14C"
"5679","Nfu_g_1_005679","PPP6R3","ppp6r3"
"5680","Nfu_g_1_005680","","btr26"
"5681","Nfu_g_1_005681","MCF2L (1 OF 2)","mcf2l"
"5682","Nfu_g_1_005682","ITGA4","ITGA4"
"5683","Nfu_g_1_005683","RIF1","rif1"
"5684","Nfu_g_1_005684","FMNL3","atn1"
"5685","Nfu_g_1_005685","APPB","appb"
"5686","Nfu_g_1_005686","OLA.21730","tspan7b"
"5687","Nfu_g_1_005687","LATS2","lats2"
"5688","Nfu_g_1_005688","SF3B1","sf3b1"
"5689","Nfu_g_1_005689","CABZ01054962.1","CABZ01054962.1"
"5690","Nfu_g_1_005690","DIRC2","dirc2"
"5691","Nfu_g_1_005691","RBM44","RBM44"
"5692","Nfu_g_1_005692","MITD1","mitd1"
"5693","Nfu_g_1_005693","LMO7A","lmo7a"
"5694","Nfu_g_1_005694","","msna"
"5695","Nfu_g_1_005695","","zgc:101559"
"5696","Nfu_g_1_005696","C9HXORF21","C9HXorf21"
"5697","Nfu_g_1_005697","DCAF6","dcaf6"
"5698","Nfu_g_1_005698","ITGAV","itgav"
"5699","Nfu_g_1_005699","STAM2","stam2"
"5700","Nfu_g_1_005700","","btr26"
"5701","Nfu_g_1_005701","OLA.5446","zgc:162944"
"5702","Nfu_g_1_005702","CU459095.1","CU459095.1"
"5703","Nfu_g_1_005703","IMPG2 (1 OF 2)","IMPG2 (2 of 3)"
"5704","Nfu_g_1_005704","SLC35A5","slc35a5"
"5705","Nfu_g_1_005705","GPR18","gpr18"
"5706","Nfu_g_1_005706","IDH1","idh1"
"5707","Nfu_g_1_005707","OSBPL2A","OSBPL2 (2 of 2)"
"5708","Nfu_g_1_005708","MED14","med14"
"5709","Nfu_g_1_005709","","zgc:92066"
"5710","Nfu_g_1_005710","TNFSF13B","tnfsf13b"
"5711","Nfu_g_1_005711","FBXL3 (1 OF 2)","FBXL3 (1 of 2)"
"5712","Nfu_g_1_005712","LONRF2","LONRF2"
"5713","Nfu_g_1_005713","POPDC2","popdc2"
"5714","Nfu_g_1_005714","WASLA","wasla"
"5715","Nfu_g_1_005715","SLAIN1A","slain1a"
"5716","Nfu_g_1_005716","LMLN","LMLN"
"5717","Nfu_g_1_005717","CCNYL1","CCNYL1"
"5718","Nfu_g_1_005718","SLC15A2","slc15a2"
"5719","Nfu_g_1_005719","","colq"
"5720","Nfu_g_1_005720","NR0B1","nr0b1"
"5721","Nfu_g_1_005721","TSN","tsn"
"5722","Nfu_g_1_005722","SPRYD7","spryd7b"
"5723","Nfu_g_1_005723","HTR2A","htr2a"
"5724","Nfu_g_1_005724","CD247L","cd247l"
"5725","Nfu_g_1_005725","SI:DKEY-91I10.2","si:dkey-91i10.2"
"5726","Nfu_g_1_005726","COX17","cox17"
"5727","Nfu_g_1_005727","WDR3","wdr3"
"5728","Nfu_g_1_005728","CWC22","cwc22"
"5729","Nfu_g_1_005729","SH3BP4","sh3bp4a"
"5730","Nfu_g_1_005730","RP42-PEN","rp42-pen"
"5731","Nfu_g_1_005731","CLN5","cln5"
"5732","Nfu_g_1_005732","AKAP11","akap11"
"5733","Nfu_g_1_005733","RNF17","rnf17"
"5734","Nfu_g_1_005734","TNNI2 (5 OF 5)","tnni2a.4"
"5735","Nfu_g_1_005735","SOX1A","sox1a"
"5736","Nfu_g_1_005736","ADCY5","adcy5"
"5737","Nfu_g_1_005737","NEB","neb"
"5738","Nfu_g_1_005738","ANKRD44","ankrd44"
"5739","Nfu_g_1_005739","SEMA5B","sema5b"
"5740","Nfu_g_1_005740","INTS6","ints6"
"5741","Nfu_g_1_005741","NDUFA10","ndufa10"
"5742","Nfu_g_1_005742","","si:dkey-69o16.5"
"5743","Nfu_g_1_005743","","CABZ01054962.1"
"5744","Nfu_g_1_005744","",""
"5745","Nfu_g_1_005745","UPF3A","upf3a"
"5746","Nfu_g_1_005746","RPL8","rpl8"
"5747","Nfu_g_1_005747","CD200 (1 OF 3)","zgc:113337"
"5748","Nfu_g_1_005748","",""
"5749","Nfu_g_1_005749","CNGA4","cnga4"
"5750","Nfu_g_1_005750","RAPH1","si:ch211-176f1.1"
"5751","Nfu_g_1_005751","PPP2R3B","ppp2r3b"
"5752","Nfu_g_1_005752","TBC1D8","tbc1d9"
"5753","Nfu_g_1_005753","MYCBP2","mycbp2"
"5754","Nfu_g_1_005754","PTPRZ1A","ptprz1a"
"5755","Nfu_g_1_005755","DVR1","dvr1"
